DATE,PLXS,BWINB,HGIC,WTS,HTLD,PLAB,OFG,WSBC,CCC,SUR,BRY,CNMD,ACO,IMKTA,CBM,AIN,CHFC,COKE,GNCMA,LNN,VWMKT,RiskFree
1/20/1998,4.31E-10,0.022865855,0.046511627,0.028368793,0.076923073,0.084112147,0.025263158,0.014522822,-0.005917161,0.04526749,0.019379845,0.019230769,0.027522937,0.074074074,0.020028612,-0.005633803,-0.002976193,-0.069498071,0.057692309,0.00777605,0.028383686,0.000980096
1/27/1998,-0.017621146,0.010432191,0.027777778,0.009195401,-0.098214293,0.028735632,-0.030800821,-0.014314928,0.011904763,-0.027559055,-0.064638782,-0.053908357,-0.053571431,-0.051724137,-0.021037869,-0.02266289,0.002985075,-0.039419087,0.018181818,-0.018518519,-0.011813914,0.000980096
2/3/1998,0.147982059,0.038348082,0.091891892,0.031890661,-0.009900991,0.128491618,0.02118644,0.0186722,-0.011764708,0.032388664,0.008130082,0.031339032,0.03773585,-0.054545455,0.031518625,0.03768116,-0.017857142,-0.008639309,0.008928572,-0.025157232,0.03820036,0.000980096
2/10/1998,0.195312503,0.022727274,-0.034653465,0.0397351,0.015000001,0.101485152,0.03526971,4.51E-10,0.029761904,-0.043137255,0.032258065,0.052486189,-0.045454545,-0.004807693,-0.022500001,0.025139665,-0.006060601,0.045751634,0.168141601,0.064516129,0.016934655,0.000964163
2/17/1998,0.013071898,0.032222223,0.015384615,0.029723991,0.019704434,0.015730336,0.020040081,-0.038696537,0.01734104,0.024590163,0.0234375,-0.013123361,-0.004761904,-0.019323672,-0.028449503,-0.01907357,-1.11E-11,0.010416667,-0.083333334,0.007276389,0.00450155,0.000964163
2/24/1998,0.016129032,-0.05405406,-0.005050505,-0.010309278,-0.057971015,0.013274339,0.019646366,-0.033898304,0.170454546,-0.004,-0.034351145,-0.053191489,0.066411485,-0.014778327,0.103953146,-0.027777779,0.048780488,0.010343358,-0.057851238,0.010542169,0.007390233,0.000964163
3/3/1998,0.053968254,0.017142868,0.035532996,0.013303572,0.082051284,-0.048034934,0.025048169,0.008771931,-9.11E-11,0.012048191,-0.035573124,4.65E-10,0.027027026,0.029999999,0.039787799,0.151428571,0.023255813,-0.00409836,0.01754386,0.02086438,0.020781167,0.000964163
3/10/1998,-0.046686749,-0.005617973,-0.029411766,-0.030927833,-0.014218012,-0.071100923,0.001879699,-0.026086957,-0.042484662,0.035714286,-0.00409836,-0.033707865,-0.06140351,0.04854369,-0.020408163,-0.017369727,-0.008734234,-0.046296298,0.034482759,-0.062773725,0.01183336,0.000982784
3/17/1998,0.026856237,-0.062146898,0.037627284,0.010638298,0.0625,0.01728395,0.133208255,0.0075,0.020408163,-0.038314176,-0.076109115,0.031976744,0.028037383,-0.004629631,0.023437499,0.021961722,0.031700288,-0.012944984,-0.058333335,0.077881621,0.015788699,0.000982784
3/24/1998,-0.061538461,0.010542167,0.041564793,-0.016842105,-0.00452489,0.050970877,0.006622517,-0.017857144,-0.094999999,-0.015936256,0.103139013,0.061971832,0.018181817,-0.009302325,-0.008905852,0.029776674,-0.019553072,-0.003278689,0.123893807,-0.015895954,0.020641559,0.000982784
3/31/1998,0.042622951,0.025335319,-0.02347418,0.023554604,0.00909091,0.034642032,-0.019092193,0.009090909,0.033149173,0.032388664,-0.016260162,0.013262601,0.080357144,0.014084507,0.034659821,0.007228916,0.014245016,0.013157895,-2.42E-10,0.07048458,-0.000245171,0.000982784
4/7/1998,-0.072327044,2.00E-09,-0.009615383,-0.037656905,-0.063063064,-0.046874998,-0.005050505,-0.009009008,-0.010695185,-2.07E-10,-0.033057852,0.026178011,-0.095041319,-0.025157492,0.013647642,0.007177032,-0.023876405,0.045454545,-0.031496064,0.042524005,0.003245432,0.001003517
4/14/1998,0.084745763,0.072674419,-0.004854369,0.02826087,0.028846156,0.124121781,0.055837563,0.018181819,0.01081081,-1.38E-09,0.017094018,0.06122449,-0.045662104,-0.009615385,-0.006119951,0.021377671,-0.033093524,0.026915115,-0.032520325,-0.031578947,0.010093749,0.001003517
4/21/1998,0.084375001,-0.002710026,0.070731711,-0.019027485,0.014018691,0.137500002,0.041666667,0.035714284,0.053475937,0.015686275,0.016806723,-0.038461539,0.110047846,0.009708738,0.078817735,0.074418604,0.029761906,0.012096772,0.008403365,-0.021739131,0.01100181,0.001003517
4/28/1998,-0.046109509,-0.021739131,-0.038724372,-0.120689656,-0.105990787,0.029304028,0.03538461,-0.051724138,-0.040609136,-0.011583011,-0.020661157,-0.095000001,-0.030172414,-0.03846154,-0.015981735,-0.01948052,-0.046242777,-0.024900398,-0.066666668,0.030555558,-0.036342435,0.001003517
5/5/1998,0.111782479,-1.40E-09,-0.004739337,0.029411766,-0.015463916,-0.014234876,0.057949481,-0.018181817,-0.037037038,2.79E-10,0.025316456,0.016574585,-0.008888889,-0.025000001,0.023201856,0.037527593,-0.00909091,0.029622063,0.044642857,0.018867924,0.02638916,0.000907151
5/12/1998,0.02173913,0.011111111,-0.019047619,-0.00952381,-0.057591622,-0.027075814,-0.014044944,0.00925926,-0.016483517,0.0234375,-0.008230452,0.032608694,0.008968609,0.015384616,0.019057832,0.017021276,0.027522937,-0.007936509,-0.034188034,-2.14E-10,-0.002240335,0.000907151
5/19/1998,-0.090425532,0.05934066,-0.082524273,-0.060096155,0.022222222,-0.094619669,-0.011396012,-0.055045871,-0.02234637,-0.011450382,-0.020746888,-0.052631578,-0.004444444,-0.005050505,-0.008908685,-0.00209205,0.008928572,0.007,-0.061946903,0.003709318,-0.006655866,0.000907151
5/26/1998,0.011695907,-0.065104165,-0.031746031,-0.002557544,-0.043478263,-0.180327868,-0.057636888,-0.004854369,0.005714284,-0.042471041,-0.033898305,-0.055555555,-0.031857144,0.020304568,-0.024719101,-0.025157233,-0.008849558,-0.000019703,-0.094339622,-0.013192613,-0.017957178,0.000907151
